Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Dwellings, Place of Enumeration"
"SA2 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"Bentleigh East (South)",1075,1854,547,57,17,31,18,5,0,0,0,0,1010,113,24,139,398,5282,
"Aspendale Gardens - Waterways",582,1509,226,21,17,37,11,0,0,0,0,0,328,37,9,68,142,3000,
"Braeside",3,4,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,22,
"Carrum - Patterson Lakes",1175,1353,498,49,16,24,22,0,0,0,0,0,1218,125,35,211,537,5261,
"Chelsea - Bonbeach",1432,1483,625,63,8,13,13,0,0,0,0,0,2030,218,63,306,650,6907,
"Chelsea Heights",450,737,231,17,8,14,10,0,0,0,0,0,412,42,3,54,101,2085,
"Cheltenham - Highett (East)",2039,2738,958,115,23,39,29,0,0,0,0,0,2470,268,47,353,797,9879,
"Edithvale - Aspendale",1133,1696,431,53,15,12,13,0,0,0,0,0,1109,108,45,226,439,5289,
"Mentone",1327,1495,514,63,15,19,5,0,0,0,0,0,1678,150,39,186,615,6105,
"Moorabbin - Heatherton",721,1135,363,41,9,29,10,0,0,0,0,0,712,107,31,165,282,3602,
"Moorabbin Airport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mordialloc - Parkdale",1730,2598,730,70,14,29,21,0,0,0,0,0,2118,190,50,305,721,8584,
"Malvern - Glen Iris",1989,2340,536,119,16,13,8,0,0,0,0,0,2319,420,69,373,980,9192,
"Malvern East",1755,2740,552,123,19,33,17,4,0,0,0,0,1811,584,87,256,738,8723,
"Bundoora - East",889,1208,369,49,15,28,22,0,0,4,0,0,621,175,23,116,254,3779,
"Greensborough",1895,2845,772,80,27,35,21,0,0,0,0,0,1533,127,46,155,518,8056,
"Heidelberg - Rosanna",1359,1899,465,79,6,19,10,0,0,0,0,0,1513,188,45,215,600,6400,
"Heidelberg West",1046,1298,766,130,19,32,16,0,0,0,0,0,1584,339,40,423,604,6290,
"Ivanhoe",1013,1504,367,67,10,27,7,0,0,0,0,0,1144,181,38,140,467,4966,
"Ivanhoe East - Eaglemont",698,1143,193,37,9,19,9,0,0,0,0,0,521,41,19,78,291,3059,
"Montmorency - Briar Hill",1586,2039,653,64,28,25,21,0,0,0,0,0,1423,136,32,141,508,6663,
"Viewbank - Yallambie",1647,2488,689,58,18,41,26,0,0,4,0,0,1444,153,29,117,529,7247,
"Watsonia",858,1177,411,43,12,16,10,0,0,0,0,0,793,81,22,88,243,3755,
"Kingsbury",777,1150,260,58,16,34,10,0,0,0,0,0,658,363,59,186,284,3853,
"Reservoir - East",2274,2608,1200,220,46,91,42,4,0,5,0,0,3265,624,76,674,1010,12139,
"Reservoir - West",2071,2728,990,155,46,78,33,4,0,6,0,0,2251,405,49,440,740,10009,
"Preston - East",1749,1877,794,151,18,54,15,5,0,7,0,0,2097,708,65,564,649,8749,
"Preston - West",1014,1504,397,86,18,24,22,0,0,0,0,0,1121,328,37,193,459,5205,
"Eltham",1911,3585,711,54,21,36,11,0,0,0,0,0,1198,87,26,180,519,8348,
"Hurstbridge",273,510,124,8,8,10,12,0,0,0,0,0,199,16,3,28,86,1274,
"Kinglake",382,489,114,10,0,6,0,0,0,0,0,0,269,24,9,95,188,1594,
"Panton Hill - St Andrews",469,701,135,3,6,21,9,0,0,0,0,0,250,24,24,111,141,1898,
"Plenty - Yarrambat",730,1508,192,28,13,37,17,0,0,0,0,0,330,30,10,73,161,3141,
"Research - North Warrandyte",566,1030,159,14,12,19,3,0,0,0,0,0,259,24,12,87,131,2327,
"Wattle Glen - Diamond Creek",1019,2112,486,27,25,37,17,0,0,0,0,0,591,59,26,98,281,4771,
"Bundoora - North",558,950,167,39,9,30,8,0,0,0,0,0,500,235,51,98,269,2919,
"Bundoora - West",590,643,237,43,13,28,15,0,0,0,0,0,537,166,13,102,187,2579,
"Lalor",1820,2670,1042,136,55,143,70,4,6,7,0,0,1405,184,41,339,488,8405,
"Mill Park - North",1212,2621,650,77,47,85,35,0,0,0,0,0,926,113,25,160,342,6296,
