Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"STRD Dwelling Structure","Separate house","Semi-detached, row or terrace house, townhouse etc. with one storey","Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four to eight storey block","Flat or apartment in a nine or more storey block","Flat or apartment attached to a house","Caravan","Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.","Not stated","Not applicable","Total",
"SA2 (EN)",
"South Yarra - West",230,144,229,342,1339,538,1432,0,0,0,0,0,6,10,4266,
"West Melbourne - Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Melbourne CBD - East",0,0,63,27,121,314,6762,0,0,0,50,6,74,37,7465,
"Melbourne CBD - North",5,0,0,25,115,300,12647,0,0,0,16,0,70,23,13196,
"Melbourne CBD - West",14,0,21,29,105,1664,11480,0,0,0,28,0,50,45,13443,
"North Melbourne",322,772,1604,604,1330,2084,2493,3,0,0,12,59,11,34,9333,
"Royal Botanic Gardens Victoria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"Southbank (West) - South Wharf",0,0,0,0,17,780,4190,0,0,0,4,3,13,9,5019,
"Southbank - East",3,0,196,3,316,661,11160,0,0,0,4,0,39,15,12396,
"West Melbourne - Residential",54,291,593,570,113,1453,1665,0,0,0,0,30,3,11,4791,
"Albert Park",835,1951,984,445,675,532,3713,30,0,0,6,21,40,15,9250,
"Elwood",1125,677,494,2485,3678,409,0,0,0,0,0,0,8,4,8883,
"Port Melbourne",524,1659,1956,226,904,2427,1268,3,0,0,0,16,8,7,8986,
"St Kilda East",1235,772,496,2325,4014,447,0,3,0,0,0,72,3,17,9393,
"Port Melbourne Industrial",0,24,431,0,15,86,506,0,0,3,0,16,14,0,1089,
"South Melbourne",308,1074,1313,344,157,1331,2855,4,0,0,10,56,27,7,7482,
"St Kilda - Central",417,483,258,1694,2796,1460,1180,10,0,0,3,278,18,34,8637,
"St Kilda - West",393,394,560,1285,2672,1628,2277,3,0,0,21,301,11,48,9600,
"Armadale",1279,483,382,776,1517,911,0,0,0,0,0,34,9,0,5395,
"Prahran - Windsor",1829,1729,984,1232,2803,2900,658,0,0,0,4,41,23,20,12226,
"Toorak",2076,310,1084,1456,1516,608,193,11,0,0,0,3,4,3,7266,
"South Yarra - North",189,32,202,330,1829,878,4976,5,0,0,0,0,9,11,8459,
"South Yarra - South",759,707,775,384,1401,1617,838,0,0,0,0,21,8,7,6521,
"Abbotsford",504,727,500,242,421,846,2261,6,0,0,0,151,10,16,5689,
"Carlton North - Princes Hill",313,2035,679,252,613,169,0,6,0,0,4,55,4,0,4138,
"Collingwood",286,618,756,277,762,1284,1602,23,0,0,7,25,9,5,5653,
"Fitzroy",167,807,1218,554,870,986,1297,3,0,0,26,73,18,33,6039,
"Fitzroy North",856,2135,919,951,706,855,0,9,0,0,4,42,11,11,6505,
"Clifton Hill - Alphington",1181,972,903,553,507,329,0,6,0,0,0,11,5,10,4483,
"Richmond (South) - Cremorne",1749,2009,1690,995,1261,1370,586,4,0,0,0,56,5,14,9741,
"Richmond - North",801,772,985,335,779,2739,1771,0,0,0,0,28,8,16,8234,
"Ashburton (Vic.)",2239,339,273,74,28,0,0,3,0,0,0,45,3,3,3009,
"Balwyn",4093,1329,486,555,186,402,0,5,0,0,0,12,7,6,7083,
"Balwyn North",6490,514,521,107,123,72,0,3,0,0,0,22,4,0,7857,
"Camberwell",5133,1197,681,816,229,595,0,0,0,0,0,64,16,16,8760,
"Glen Iris - East",4496,878,414,109,182,459,31,6,0,0,0,8,3,4,6597,
"Hawthorn East",2354,724,640,1292,1190,1499,447,4,0,0,0,25,7,7,8195,
"Kew East",1670,371,209,254,66,15,0,0,0,0,0,0,0,3,2592,
"Surrey Hills (West) - Canterbury",4133,1095,415,366,244,159,0,9,0,0,0,34,4,4,6471,
"Hawthorn - North",1245,793,232,959,1255,334,0,4,0,0,6,28,0,15,4874,
"Hawthorn - South",1322,486,239,1266,1796,1361,290,0,0,0,0,19,7,13,6800,
"Kew - South",2523,691,688,449,389,158,46,0,0,0,0,5,0,14,4979,
"Kew - West",2680,454,625,613,664,609,0,6,0,0,3,27,14,19,5705,
"Bulleen",3697,112,446,268,126,52,0,3,0,0,0,3,5,0,4706,
"Doncaster",5819,862,1367,431,357,1093,1729,6,0,0,0,0,14,7,11686,
"Templestowe",4850,437,761,103,21,143,0,0,0,0,0,0,0,10,6320,
"Templestowe Lower",4403,295,734,9,15,39,0,3,0,0,0,5,3,8,5513,
"Doncaster East - North",4448,234,437,132,62,572,78,5,0,0,0,0,12,0,5974,
"Doncaster East - South",3066,963,1237,658,214,213,0,0,0,0,0,0,4,3,6364,
"Blackburn",6383,1252,579,120,173,612,0,11,0,0,0,9,4,6,9134,
"Blackburn South",3277,511,242,297,59,62,0,4,0,0,0,4,0,8,4468,
"Box Hill",3757,1403,1143,869,1010,824,2278,11,0,0,0,8,27,31,11348,
"Box Hill North",4594,1411,1014,362,0,92,0,0,0,0,0,3,6,12,7496,
"Burwood (Vic.)",2836,837,807,201,417,397,0,9,0,0,0,0,4,86,5594,
"Burwood East",3219,527,304,65,79,269,0,0,0,0,0,0,5,11,4485,
