Australian Bureau of Statistics

"2021 Census - selected family characteristics"
"SA2 (EN) by CPRF Count of Persons in Family"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"CPRF Count of Persons in Family","Two persons in family","Three persons in family","Four persons in family","Five persons in family","Six or more persons in family","Not applicable","Total",
"SA2 (EN)",
"Lilydale - Coldstream",2549,1193,1234,414,129,2458,7981,
"Monbulk - Silvan",716,334,361,165,46,630,2253,
"Montrose",779,443,447,195,52,641,2562,
"Mooroolbark",2752,1474,1480,565,225,2352,8854,
"Mount Dandenong - Olinda",1381,567,613,207,59,1067,3886,
"Mount Evelyn",1140,606,672,272,88,903,3682,
"Upwey - Tecoma",1193,682,691,196,65,987,3812,
"Wandin - Seville",983,485,550,212,63,670,2964,
"Yarra Valley",2208,962,874,338,134,2557,7068,
"Emerald - Cockatoo",2106,1059,1268,553,126,1689,6816,
"Beaconsfield - Officer",2377,1593,1729,634,224,2083,8641,
"Bunyip - Garfield",1180,495,584,264,115,1020,3672,
"Koo Wee Rup",1241,604,579,252,102,1145,3923,
"Pakenham - North East",1702,1014,909,347,173,1888,6029,
"Pakenham - North West",819,476,515,202,85,662,2752,
"Pakenham - South East",878,407,251,110,51,1224,2915,
"Pakenham - South West",2565,1600,1793,728,389,2591,9674,
"Berwick - North",2893,1407,1513,471,144,2699,9122,
"Doveton",1133,677,524,249,179,1917,4679,
"Hallam",1114,670,614,258,220,1174,4046,
"Narre Warren North",831,450,547,268,132,435,2659,
"Endeavour Hills - North",1312,814,773,289,140,1045,4370,
"Endeavour Hills - South",1551,886,867,352,135,1112,4908,
"Narre Warren - North East",1372,888,913,394,144,1134,4846,
"Narre Warren - South West",1630,1007,831,296,170,1743,5682,
"Berwick - South East",1388,1100,1582,540,198,1022,5823,
"Berwick - South West",939,798,919,305,116,792,3867,
"Cranbourne",2286,1339,1105,458,256,2954,8399,
"Cranbourne South",1868,1203,1234,473,142,1340,6259,
"Cranbourne West",1904,1441,1517,613,286,1730,7495,
"Lynbrook - Lyndhurst",1216,1191,1524,587,228,935,5679,
"Pearcedale - Tooradin",994,473,498,209,74,807,3053,
"Narre Warren South - East",1058,794,1046,426,241,608,4173,
"Narre Warren South - West",1318,1021,1110,540,372,1042,5402,
"Clyde North - North",702,707,977,348,102,567,3407,
"Clyde North - South",1088,1061,1230,459,171,809,4820,
"Cranbourne East - North",1832,1366,1861,707,357,1675,7812,
"Cranbourne East - South",1032,860,884,319,164,1029,4283,
"Cranbourne North - East",772,782,1119,423,214,652,3968,
"Cranbourne North - West",1148,765,736,286,198,1174,4299,
"Hampton Park - East",1091,861,753,341,225,1080,4351,
"Hampton Park - West",1201,875,754,347,238,1400,4811,
"Clarinda - Oakleigh South",1369,847,754,210,68,1197,4451,
"Clayton South",1630,917,656,215,75,1955,5454,
"Dandenong North",2426,1434,1256,518,244,2655,8539,
"Dingley Village",1287,656,760,266,48,1005,4026,
"Noble Park North",879,506,407,190,63,859,2909,
"Springvale",2331,1450,1093,405,240,3176,8688,
"Springvale South",1182,863,728,343,156,1318,4584,
"Noble Park - East",1453,824,529,190,97,2355,5440,
"Noble Park - West",1998,1314,963,395,230,2653,7553,
"Dandenong - North",2086,1194,857,389,257,3889,8668,
"Dandenong - South",818,432,405,263,217,1319,3462,
"Keysborough - North",1693,1031,876,353,184,1492,5619,
"Keysborough - South",1176,1076,1304,457,134,769,4918,
"Ashwood - Chadstone",2358,1237,1166,323,73,2857,8015,
"Glen Waverley - East",2465,1327,1674,493,102,2036,8100,
"Glen Waverley - West",2268,1460,1500,382,86,2319,8010,
"Mount Waverley - North",1857,1074,1235,330,48,1663,6207,
"Mount Waverley - South",2192,1241,1448,379,67,2086,7419,
"Mulgrave",2313,1373,1368,437,103,1901,7494,
"Oakleigh - Huntingdale",2744,1539,1408,379,60,3210,9332,
"Wheelers Hill",2684,1291,1455,412,91,2003,7940,
"Clayton (North) - Notting Hill",888,274,171,58,10,2127,3547,
"Clayton - Central",1377,635,452,108,18,2286,4881,
"Ardeer - Albion",899,427,295,91,53,1607,3383,
"Cairnlea",799,636,746,343,138,659,3323,
"Delahey",839,591,488,202,74,872,3073,
"Keilor Downs",1678,895,784,273,114,1349,5090,
"Kings Park (Vic.)",1512,955,741,349,191,1440,5192,
"St Albans - North",2241,1324,925,431,210,3169,8292,
"St Albans - South",1789,1120,818,330,200,2371,6635,
"Sunshine",1071,585,439,160,68,1602,3924,
"Sunshine North",1141,750,684,278,118,1602,4571,
"Sunshine West",2060,1146,1003,397,216,2316,7136,
"Sydenham",1205,788,751,269,96,1226,4337,
"Taylors Lakes",1865,1202,1310,452,108,1129,6067,
"Deer Park",1836,1171,978,434,239,2126,6787,
"Derrimut",532,507,697,288,156,502,2688,
"Altona",1934,838,773,219,55,2201,6021,
"Altona Meadows",2371,1265,1075,313,97,2621,7749,
"Altona North",1842,897,750,292,148,2236,6163,
"Newport",2150,1176,1398,361,85,2281,7446,
"Seabrook",516,379,382,111,27,431,1843,
"Williamstown",1924,937,1105,366,66,2112,6507,
"Braybrook",2162,1218,861,351,149,3226,7968,
"Footscray",2420,783,531,112,30,4410,8289,
"Maribyrnong",1666,755,677,215,52,2223,5584,
"Seddon - Kingsville",1167,585,599,124,10,1477,3968,
"West Footscray - Tottenham",1401,694,662,143,38,2163,5109,
"Yarraville",1940,879,1069,264,34,2231,6424,
"Bacchus Marsh",3003,1543,1527,622,177,2892,9758,
"Melton West",2008,1339,1285,551,329,2197,7705,
"Rockbank - Mount Cottrell",1235,1082,1166,436,168,1215,5300,
"Taylors Hill",1317,1096,1822,735,225,961,6157,
"Burnside",454,350,450,165,85,446,1945,
"Burnside Heights",352,406,617,224,85,248,1931,
"Caroline Springs",1617,1330,1601,633,233,1530,6951,
"Brookfield",893,608,590,256,204,930,3483,
"Cobblebank - Strathtulloh",579,560,534,238,97,542,2554,
"Eynesbury - Exford",268,175,267,104,30,172,1011,
"Fraser Rise - Plumpton",751,728,814,342,97,627,3364,
"Hillside",1371,1067,1325,545,151,1015,5467,
"Kurunjang - Toolern Vale",1259,723,650,310,156,1300,4397,
"Melton",978,492,296,133,80,1462,3444,
"Melton South - Weir Views",1540,971,787,406,314,2208,6217,
"Hoppers Crossing - North",2072,1249,1092,420,226,1876,6941,
"Hoppers Crossing - South",2065,1182,1039,399,233,2327,7249,
"Laverton",1177,786,601,204,105,1576,4457,
"Werribee - South",1927,1013,990,333,133,2258,6661,
"Point Cook - East",1572,1365,1538,552,184,1329,6533,
"Point Cook - South",1149,1436,1925,481,143,1052,6183,
"Werribee - East",2113,1167,965,426,213,2772,7665,
"Werribee - West",2331,1595,1423,516,216,2383,8465,
"Manor Lakes - Quandong",762,895,850,254,122,596,3476,
"Point Cook - North East",1247,960,1168,343,132,1152,5002,
"Point Cook - North West",770,689,808,243,82,631,3227,
"Tarneit (West) - Mount Cottrell",658,776,759,249,148,721,3313,
"Tarneit - Central",1751,1812,2214,807,421,2021,9022,
"Tarneit - North",474,534,549,172,84,541,2359,
"Tarneit - South",773,653,780,349,225,818,3603,
"Truganina - North",584,663,635,188,82,657,2809,
"Truganina - South East",660,765,734,238,108,678,3190,
"Truganina - South West",1113,1174,1297,583,379,1430,5977,
"Wyndham Vale - North",810,716,541,210,115,874,3263,
"Wyndham Vale - South",1243,939,912,332,179,1283,4887,
"Carrum Downs",2659,1571,1175,426,166,3156,9147,
"Frankston",3088,1356,983,371,120,4990,10898,
"Frankston North",2518,1267,825,292,112,3616,8634,
"Frankston South",2301,1112,1308,437,90,2137,7391,
"Langwarrin",2971,1580,1633,636,179,2762,9763,
"Seaford (Vic.)",2245,1097,894,270,75,3314,7889,
"Skye - Sandhurst",1445,932,1011,351,98,1024,4863,
"Dromana",2290,672,601,186,43,2251,6048,
"Flinders",1020,277,255,111,28,969,2650,
"Hastings - Somers",3321,1306,1182,447,135,3638,10027,
"Mount Eliza",2211,1005,1329,565,147,1527,6792,
"Mount Martha",2561,997,1348,562,98,2053,7625,
"Point Nepean",3319,939,800,293,69,4095,9516,
"Rosebud - McCrae",3633,1179,905,327,86,4587,10719,
"Somerville",2479,1180,1096,396,119,2292,7570,
"Mornington - East",1867,847,926,335,78,2096,6156,
"Mornington - West",1996,507,389,107,33,2089,5118,
"Ararat",1177,384,299,138,46,1571,3609,
"Ararat Surrounds",505,130,145,79,20,521,1410,
"Horsham",2353,931,771,369,93,3130,7645,
"Horsham Surrounds",500,183,163,76,31,487,1438,
"Nhill Region",1091,331,252,130,48,1328,3180,
"St Arnaud",535,135,144,56,20,747,1643,
"Stawell",1289,397,309,142,48,1766,3964,
"West Wimmera",422,108,97,60,12,611,1315,
"Yarriambiack",1032,293,197,125,50,1335,3039,
"Irymple",936,413,420,199,88,953,3008,
"Merbein",656,262,231,113,43,707,2023,
"Mildura Surrounds",525,152,145,79,23,759,1693,
"Red Cliffs",752,329,302,128,61,949,2522,
"Mildura - North",2409,929,691,304,152,3785,8272,
