Australian Bureau of Statistics

"2021 Census - selected family characteristics"
"SA2 (EN) by FNOF Family Number"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"FNOF Family Number","Primary family","Second family","Third family","Not applicable","Total",
"Altona",3756,61,0,2201,6021,
"Altona Meadows",5017,105,4,2621,7749,
"Altona North",3846,85,3,2236,6163,
"Newport",5112,49,0,2281,7446,
"Seabrook",1363,45,0,431,1843,
"Williamstown",4350,40,3,2112,6507,
"Braybrook",4570,157,11,3226,7968,
"Footscray",3841,42,0,4410,8289,
"Maribyrnong",3281,79,0,2223,5584,
"Seddon - Kingsville",2471,17,0,1477,3968,
"West Footscray - Tottenham",2896,47,4,2163,5109,
"Yarraville",4150,36,3,2231,6424,
"Bacchus Marsh",6701,161,6,2892,9758,
"Melton West",5306,190,8,2197,7705,
"Rockbank - Mount Cottrell",3869,198,13,1215,5300,
"Taylors Hill",4952,232,9,961,6157,
"Burnside",1410,82,4,446,1945,
"Burnside Heights",1610,73,0,248,1931,
"Caroline Springs",5208,205,12,1530,6951,
"Brookfield",2451,95,9,930,3483,
"Cobblebank - Strathtulloh",1919,90,8,542,2554,
"Eynesbury - Exford",824,20,0,172,1011,
"Fraser Rise - Plumpton",2652,86,0,627,3364,
"Hillside",4301,153,6,1015,5467,
"Kurunjang - Toolern Vale",2994,106,6,1300,4397,
"Melton",1913,58,0,1462,3444,
"Melton South - Weir Views",3877,127,10,2208,6217,
"Hoppers Crossing - North",4866,195,10,1876,6941,
"Hoppers Crossing - South",4750,165,8,2327,7249,
"Laverton",2761,110,7,1576,4457,
"Werribee - South",4305,91,4,2258,6661,
"Point Cook - East",5022,172,10,1329,6533,
"Point Cook - South",4926,198,10,1052,6183,
"Werribee - East",4707,177,7,2772,7665,
"Werribee - West",5898,181,4,2383,8465,
"Manor Lakes - Quandong",2782,95,5,596,3476,
"Point Cook - North East",3737,112,3,1152,5002,
"Point Cook - North West",2490,98,5,631,3227,
"Tarneit (West) - Mount Cottrell",2463,125,6,721,3313,
"Tarneit - Central",6638,344,17,2021,9022,
"Tarneit - North",1718,87,7,541,2359,
"Tarneit - South",2666,115,8,818,3603,
"Truganina - North",2059,87,4,657,2809,
"Truganina - South East",2401,106,6,678,3190,
"Truganina - South West",4363,178,11,1430,5977,
"Wyndham Vale - North",2297,90,3,874,3263,
"Wyndham Vale - South",3439,148,13,1283,4887,
"Carrum Downs",5827,164,6,3156,9147,
"Frankston",5813,98,0,4990,10898,
"Frankston North",4920,93,0,3616,8634,
"Frankston South",5146,104,0,2137,7391,
"Langwarrin",6785,206,9,2762,9763,
"Seaford (Vic.)",4522,50,0,3314,7889,
"Skye - Sandhurst",3726,111,3,1024,4863,
"Dromana",3725,71,0,2251,6048,
"Flinders",1648,30,0,969,2650,
"Hastings - Somers",6247,144,3,3638,10027,
"Mount Eliza",5149,113,0,1527,6792,
"Mount Martha",5497,78,0,2053,7625,
"Point Nepean",5342,83,0,4095,9516,
"Rosebud - McCrae",6035,90,0,4587,10719,
"Somerville",5107,163,8,2292,7570,
"Mornington - East",3982,73,3,2096,6156,
"Mornington - West",3005,24,0,2089,5118,
"Ararat",2019,23,0,1571,3609,
"Ararat Surrounds",882,14,0,521,1410,
"Horsham",4471,46,3,3130,7645,
"Horsham Surrounds",936,22,0,487,1438,
"Nhill Region",1838,20,0,1328,3180,
"St Arnaud",883,11,0,747,1643,
"Stawell",2157,30,0,1766,3964,
"West Wimmera",691,12,0,611,1315,
"Yarriambiack",1676,23,0,1335,3039,
"Irymple",2017,34,0,953,3008,
"Merbein",1288,27,0,707,2023,
"Mildura Surrounds",923,12,0,759,1693,
"Red Cliffs",1553,25,0,949,2522,
"Mildura - North",4381,94,4,3785,8272,
"Mildura - South",4255,109,7,2637,7005,
"Buloke",1604,10,0,1310,2919,
"Gannawarra",1828,26,0,1171,3025,
"Kerang",979,10,0,882,1869,
"Robinvale",733,35,0,661,1432,
"Swan Hill",2866,33,0,2011,4909,
"Swan Hill Surrounds",1623,33,0,1085,2742,
"Echuca",4152,73,3,2652,6878,
"Kyabram",2952,51,0,1739,4739,
"Lockington - Gunbower",1065,19,0,527,1614,
"Rochester",1051,15,0,708,1775,
"Rushworth",1098,24,0,858,1980,
"Cobram",1635,29,0,1297,2959,
"Moira",771,18,0,419,1208,
"Numurkah",3241,68,0,2100,5409,
"Yarrawonga",2360,45,0,1440,3847,
"Mooroopna",2047,40,0,1795,3882,
"Shepparton - North",4929,107,0,3253,8288,
"Shepparton Surrounds - East",1080,19,0,467,1566,
"Shepparton Surrounds - West",2671,49,6,1597,4309,
"Kialla",2448,61,4,766,3284,
"Shepparton - South East",3874,135,6,2920,6936,
"Glenelg (Vic.)",2397,38,4,1616,4054,
"Hamilton (Vic.)",2692,30,0,2019,4743,
"Portland",2994,46,0,2086,5126,
"Southern Grampians",1698,18,0,1117,2829,
"Camperdown",907,15,0,710,1639,
"Colac",3169,44,0,2394,5604,
"Colac Surrounds",1530,20,0,823,2372,
"Corangamite - North",1409,20,0,1016,2447,
"Corangamite - South",1926,25,0,1053,3001,
"Otway",995,13,0,1078,2082,
"Moyne - East",1845,28,0,996,2867,
"Moyne - West",2753,40,0,1417,4210,
"Warrnambool - North",6039,72,0,3379,9490,
"Warrnambool - South",3368,34,4,2639,6045,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,44,44,
"Total",1676132,41094,1546,931140,2649914,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
